CTISMILES	_internalID_
c1cc(c(cc1Cn2c3ccc(cc3cc2C(=O)O)Cl)Cl)Cl	CHEMBL133839
COc1cc(ccc1Nc2ncc(c(n2)c3cnc4n3cccc4)Cl)OC5CNC5	CHEMBL1809052
CCCCn1c(nc2c1ncnc2N)Cc3cc(c(c(c3)OC)OC)OC	CHEMBL113690
c1ccc(cc1)c2cnn3c2ncc(c3)c4ccncc4	CHEMBL92623
c1ccnc(c1)NCc2ccc(cc2)CNc3ccccn3	CHEMBL237830
c1ccc(c(c1)CCNCc2cccc(c2)CCNC[C@@H](c3ccc(c4c3sc(n4)O)O)O)Cl	CHEMBL1944690
Cc1cc(on1)CNc2ncc(c(n2)Nc3cc(n[nH]3)CCCOC)Br	CHEMBL2088093
c1ccc(c(c1)N)NC(=O)c2ccc(cc2)CNC(=O)OCc3cccnc3	CHEMBL27759
CCOC(=O)N1CCC(=C2c3ccc(cc3CCc4c2nccc4)Cl)CC1	CHEMBL998
Cc1ccc(cc1)Oc2ccc(cc2)C(=O)NCCc3ccncc3	CHEMBL1796283
CC(C)(C)NS(=O)(=O)c1cc(cnc1)c2ccc3nc(nn3c2)N	CHEMBL2059909
Cc1cc(nc(c1)N)CCNC(=O)c2ccc(cc2)C#N	CHEMBL1221659
C[C@@H]1CN(C[C@@H](O1)C)c2nc3c(ccc(n3)c4ccccc4)c(n2)N5CCOC[C@@H]5C	CHEMBL2336331
c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N	CHEMBL2164676
c1ccc(cc1)OCC(CNCCOc2ccc(cc2)OCC(=O)N)O	CHEMBL49739
CC(=O)N[C@H]1CCc2cc(c(c(c2-c3c1cc(cc3)O)OC)OC)OC	CHEMBL486504
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)CCCN4CCOCC4	CHEMBL457888
c1ccc2c(c1)C[C@H]([C@@H]2NC(=O)CC(=O)O)NC(=O)c3cc4c([nH]3)c(c(s4)Cl)Cl	CHEMBL1084327
COc1cc2c(cc1OCCCN3CCC(CC3)CCO)ncnc2Nc4cc(n[nH]4)CC(=O)Nc5cccc(c5F)F	CHEMBL384054
CN(C1CCN(CC1)CCC(c2ccccc2)c3ccccc3)C(=O)Cc4ccccc4	CHEMBL367586
c1ccc(cc1)c2ccc3ccnn3c2c4ccc(cc4)C5(CCC5)N	CHEMBL2035032
COc1cccc(c1)Nc2nnc(o2)C(=O)Nc3ccc(nc3)N4CCOCC4	CHEMBL2036594
c1ccc(cc1)c2cc3c(ccn4c3nnc4O)nc2c5ccc(cc5)C6(CCC6)N	CHEMBL1079175
Cc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)C	CHEMBL1576801
c1cc(ccc1C(F)(F)F)S(=O)(=O)Nc2cc(sc2C(=O)N)c3ccsc3	CHEMBL1555870
CN(C)C(=O)C(CCN1CCC(CC1)(c2ccc(cc2)Cl)O)(c3ccccc3)c4ccccc4	CHEMBL841
COc1cc(ccc1OCc2cccc(c2)F)Nc3c4c([nH]nc4ncn3)OCCN5CCC(CC5)O	CHEMBL402339
CS(=O)(=O)c1ccc(cc1)[C@H](CC2CCCC2)C(=O)Nc3nccs3	CHEMBL1094168
c1ccc2c(c1)nc(o2)c3cc(cnc3)c4cnn(c4)C5CCNCC5	CHEMBL1200211
