// this file was created using the eMolecule database on 7/27/2014
//type	idx	codeName
lin74	285	*-*:*:*-*-*-*=*
lin74	286	*:*:*:*-*-*:*:*
lin74	287	N-C-C=O
lin74	288	c:c:c:o
lin74	289	*-*-*:*-*=*
lin74	290	N-C-c:n
lin74	291	*-*-*:*:*-*-*=*
lin74	292	O-C-c
lin74	293	*-*-*=*-*
lin74	294	C-c:n:n
lin74	295	C-C-C-O
lin74	296	n:c:n:n
lin74	297	*-*:*-*-*-*-*:*
lin74	298	c:o:c
lin74	299	*-*:*:*:*:*=*
lin74	300	*=*-*-*=*
lin74	301	O-C-c:c
lin74	302	C-N-S
lin74	303	C-N-S=O
lin74	304	*-*:*:*:*-*-*:*
lin74	305	*:*:*-*-*:*
lin74	306	*:*:*:*:*-*-*:*
lin74	307	*-*-*-*=*-*
lin74	308	*:*:*:*-*-*:*
lin74	309	n:c:s
lin74	310	C-c:o
lin74	311	c:s:c:n
lin74	312	*:*:*-*-*-*-*:*
lin74	313	*:*-*-*-*-*-*:
lin74	314	C-C-c:n
lin74	315	C=C
lin74	316	*=*-*:*:*:*-*
lin74	317	c:c:o:c
lin74	318	c:c:c:c:s:
lin74	319	C-c:s
lin74	320	*-*-*-*:*:*-*=*
lin74	321	*-*-*:*=*
lin74	322	S-c:n
lin74	323	*-*-*-*-*:*-
lin74	324	C-c:s:c
lin74	325	C-C=C
lin74	326	*-*-*:*:*:*:*=*
lin74	327	C-n:c=O
lin74	328	c:c:c:n:n:
lin74	329	*-*-*:*-*:*:*
lin74	330	*-*-*:*-*:*:*:*
lin74	331	*-*-*:*-*:*
lin74	332	C-O-C=O
lin74	333	*-*-*:*-*-*-*:*
lin74	334	C-N-S-c
lin74	335	C-S-c:n
lin74	336	C-C-N-S
lin74	337	N-C-C-S
lin74	338	C-C-S-c
lin74	339	O-c:c-O
lin74	340	*=*-*-*-*-*=*
lin74	341	*=*-*:*:*-*
lin74	342	O=C-C-S
lin74	343	C-C-N-C-C-N-
lin74	344	*-*:*:*-*-*:*:*
lin74	345	*-*:*:*-*-*:*
lin74	346	c:n:c:s
lin74	347	*-*=*-*:*:*:*:*
lin74	348	*-*=*-*:*:*:*
lin74	349	*-*=*-*:*:*
lin74	350	*-*=*-*:*
lin74	351	*-*:*-*-*:*
lin74	352	*-*:*-*-*:*:*:*
lin74	353	*-*:*-*-*:*:*
lin74	354	*-*-*:*-*-*-*=*
lin74	355	N-C-N
lin74	356	*-*-*-*-*=*-*
lin74	357	S-c:n:c
lin74	358	c-n
lin74	359	*-*-*-*:*=*
lin74	360	*:*:*:*-*
lin74	361	c-n:c
lin74	362	*:*:*:*:*-*
lin74	363	*-*-*-*-*:*-*-
lin74	364	*-*-*-*:*-*=*
lin74	365	C-n:n
lin74	366	*-*:*:*:*=*
lin74	367	n:c:c:s
lin74	368	C-c:c-O
lin74	369	*-*-*=*-*:*:*:*
lin74	370	*-*-*=*-*:*:*
lin74	371	*-*-*=*-*:*
lin74	372	*=*-*:*:*:*:*-*
lin74	373	c:c-n
lin74	374	c-c:n:n
lin74	375	c:c:c-n
lin74	376	O=C-c:n
lin74	377	*:*:*:*:*:*-*
lin74	378	*-*-*-*:*-*:*:*
lin74	379	*-*-*-*:*-*:*
lin74	380	*-*:*:*=*
lin74	381	c:c-n:c
lin74	382	C-N-C-N
lin74	383	C-c:n-C
lin74	384	n:c:o
lin74	385	c:c:n:c:n:
lin74	386	*-*=*-*-*
lin74	387	*=*-*-*:*:*:*-*
lin74	388	C-c:o:c
lin74	389	*-*-*-*=*-*:*
